iter	MAE	RMSE
0	1237.491591	1502.859441
1	1202.137934	1461.863439
2	1167.745532	1422.381927
3	1134.963677	1383.104099
4	1102.774216	1345.359616
5	1071.871384	1309.14762
6	1041.19114	1273.635161
7	1011.902654	1239.339251
8	983.834642	1206.811573
9	956.6464336	1175.216234
10	929.4347621	1143.550318
11	902.9214546	1112.869582
12	878.5752427	1083.88319
13	853.9064943	1055.445633
14	830.8832099	1027.750316
15	807.9507916	1000.68088
16	785.8154013	973.9823297
17	763.9110417	948.3656727
18	742.8907021	923.1375339
19	722.0941528	898.6995411
20	702.8683534	875.2107379
21	683.8824894	852.5730858
22	665.4008127	830.087072
23	647.4819652	808.8570887
24	630.0705595	788.1005034
25	613.3081156	768.2577941
26	597.0047736	748.5523053
27	581.1999518	729.6569985
28	565.845261	711.0447932
29	550.7241149	692.8486249
30	536.3731401	675.6406238
31	521.984062	658.4266046
32	508.3060503	642.243114
33	494.9210105	626.0034212
34	482.4631254	610.7076462
35	469.9159386	595.5350688
36	457.8417319	581.1451939
37	446.3844815	567.1746237
38	434.651262	553.407037
39	423.5095851	540.12599
40	412.7280921	527.0809503
41	402.3956702	514.937164
42	392.188048	502.4666756
43	382.3956371	490.6154241
44	372.9800498	479.3269701
45	363.8632842	468.2664561
46	355.0389115	457.5048948
47	346.6923347	447.1114186
48	338.4766263	437.0858837
49	330.5158282	427.2330862
50	322.6367474	417.8300438
51	315.2285855	408.7645851
52	308.013185	399.9299651
53	300.3112066	390.9182907
54	293.296218	382.3981054
55	286.5340817	374.3273801
56	279.8511674	366.0413459
57	273.4948429	358.3129127
58	267.3968757	351.1026453
59	261.4727666	343.898506
60	256.0013002	337.2672538
61	250.4222083	330.606864
62	245.0699531	324.1099028
63	239.5798073	317.3462407
64	234.4841827	310.9950288
65	229.6515487	305.0416113
66	225.0430195	299.181821
67	220.0290028	292.8619757
68	215.6293945	287.2938156
69	211.189495	281.7085964
70	206.9942641	276.5310143
71	202.776725	271.1988293
72	198.577648	265.8190401
73	194.9699259	261.1916303
74	191.4294967	256.7756096
75	188.2248969	252.6284884
76	184.5738592	248.1823304
77	181.3068881	244.1417093
78	177.8015183	239.6323531
79	174.8779747	235.8063284
80	171.8680796	231.9336977
81	169.0738916	228.4830411
82	166.453058	224.9590431
83	163.6605716	221.4090594
84	160.9245368	217.8272961
85	158.4568532	214.5225752
86	155.8667594	211.0685892
87	153.7121252	208.2716336
88	151.2786784	205.007612
89	149.0688946	202.0904872
90	146.9115493	199.2206207
91	144.9260732	196.504464
92	142.836202	193.6503073
93	140.6610263	190.7741104
94	139.0626481	188.4206928
95	137.1977304	185.8399021
96	135.6364549	183.7398408
97	133.8030179	181.2470459
98	132.1348699	179.0030711
99	130.5299015	176.9566018
100	128.9340531	174.752421
101	127.4404323	172.6914351
102	126.1166123	170.7273027
103	124.6721569	168.7192323
104	123.3341525	166.8551489
105	122.0861997	165.0605907
106	120.8367403	163.3468678
107	119.7515661	161.8122265
108	118.4086335	159.9961975
109	117.4666878	158.6296829
110	116.4750343	157.2495618
111	115.3771724	155.8154402
112	114.1881811	154.2743298
113	113.2987973	153.0036401
114	112.4030542	151.7757635
115	111.5885649	150.6296106
116	110.8055257	149.5287716
117	110.0673731	148.425539
118	109.116748	147.0408571
119	108.4230663	146.0158422
120	107.5364639	144.8205796
121	106.7547849	143.7096433
122	105.9570495	142.6392498
123	105.2531752	141.6573094
124	104.5127474	140.6338239
125	103.7440729	139.5967652
126	103.0663639	138.6409202
127	102.5142976	137.7949362
128	101.7856317	136.7986548
129	101.1848888	135.9230426
130	100.593373	135.0457157
131	100.0750535	134.3083913
132	99.66841559	133.695521
133	99.15599091	133.0223362
134	98.71692998	132.3789286
135	98.25931115	131.714673
136	97.76585762	130.9971581
137	97.34496952	130.41743
138	96.82170281	129.6510419
139	96.46234116	129.0923442
140	95.99519247	128.4539855
141	95.6477421	127.9532791
142	95.23112211	127.3339174
143	94.81708011	126.7001198
144	94.49204193	126.1779762
145	94.04239525	125.5394005
146	93.48625381	124.7836947
147	93.19272713	124.3439268
148	92.90504934	123.9578141
149	92.59275516	123.5005067
150	92.33116476	123.1467761
151	91.8263001	122.4059862
152	91.48861236	121.9541299
153	91.14846616	121.4774796
154	90.89546819	121.1340616
155	90.54122365	120.6026719
156	90.27295432	120.2124885
157	90.02587993	119.8592573
158	89.65088101	119.3221196
159	89.26381125	118.8312949
160	88.90918537	118.3649144
161	88.66362372	118.0107286
162	88.4230812	117.701587
163	88.13266156	117.2459254
164	87.94401978	116.9969164
165	87.72399709	116.6811311
166	87.4898988	116.3829174
167	87.05696181	115.7323861
168	86.84307982	115.4455619
169	86.48463148	114.9091141
170	86.26466369	114.6139994
171	85.97661022	114.2409094
172	85.68252487	113.8438403
173	85.4895051	113.5881681
174	85.23558327	113.2282569
175	85.03552431	112.9739466
176	84.83931717	112.7116134
177	84.61039412	112.4407015
178	84.39540018	112.1776619
179	84.19274565	111.9010895
180	83.98348662	111.6151272
181	83.64871231	111.1417296
182	83.39667458	110.7276472
183	83.13228735	110.32899
184	82.89604508	110.0001029
185	82.69017394	109.7048662
186	82.53481783	109.4519522
187	82.37426469	109.2309962
188	82.23051928	109.0483985
189	82.07461097	108.8441749
190	81.80275606	108.4631927
191	81.64901281	108.2354416
192	81.51149437	108.0420897
193	81.27331337	107.7260845
194	81.1176632	107.5219297
195	80.85720255	107.1841311
196	80.70297065	106.9560334
197	80.55072912	106.7274642
198	80.32315773	106.4073404
199	80.15169075	106.1917259
200	80.01950785	106.0265458
201	79.81574269	105.7608184
202	79.64270544	105.4853321
203	79.35479782	105.0213298
204	79.20131238	104.8022993
205	79.07417625	104.6329606
206	78.88338568	104.3591124
207	78.73810911	104.1760441
208	78.53811621	103.884435
209	78.40112276	103.7022357
210	78.15957832	103.3922631
211	78.00632947	103.1845913
212	77.85370115	102.986876
213	77.65721568	102.7064752
214	77.4604827	102.4625978
215	77.35515257	102.3210505
216	77.24817459	102.1691646
217	77.08205574	101.9670218
218	76.96679773	101.8069265
219	76.79261318	101.555141
220	76.65265338	101.3656817
221	76.43764441	101.0537829
222	76.31736006	100.9168383
223	76.12934359	100.669668
224	75.99586059	100.4636276
225	75.81156991	100.2207818
226	75.66078612	99.97665699
227	75.40591259	99.6384297
228	75.30826602	99.51779812
229	75.12102901	99.25616982
230	74.88349911	98.88721822
231	74.62652935	98.51398613
232	74.52129768	98.37463373
233	74.31031315	98.04347601
234	74.24128863	97.94282095
235	74.13525649	97.77801973
236	74.00801042	97.61490197
237	73.83907637	97.38376954
238	73.69057222	97.1668436
239	73.52611267	96.93497452
240	73.42262019	96.78807977
241	73.30567846	96.62503323
242	73.18919159	96.451258
243	73.10333838	96.34739698
244	72.94829984	96.1268633
245	72.83380302	95.9930332
246	72.73149268	95.87651946
247	72.58494123	95.70353769
248	72.45882489	95.54053416
249	72.34097747	95.3795641
250	72.24219854	95.24160781
251	72.16975363	95.12433852
