iter	Passed	Remaining
0	14	22084
1	25	19463
2	37	18593
3	48	17959
4	59	17740
5	69	17345
6	81	17316
7	92	17316
8	103	17179
9	114	17046
10	126	17117
11	137	17094
12	148	17013
13	160	17034
14	171	16980
15	181	16823
16	192	16782
17	203	16730
18	213	16680
19	225	16662
20	236	16626
21	246	16569
22	257	16540
23	269	16599
24	280	16548
25	291	16538
26	303	16576
27	314	16529
28	325	16505
29	337	16532
30	350	16618
31	365	16760
32	376	16754
33	390	16820
34	403	16888
35	415	16879
36	426	16854
37	437	16832
38	448	16786
39	458	16730
40	469	16697
41	480	16667
42	490	16625
43	502	16622
44	513	16594
45	523	16549
46	535	16547
47	545	16515
48	556	16489
49	568	16480
50	579	16469
51	590	16447
52	601	16417
53	613	16415
54	623	16391
55	635	16379
56	647	16398
57	659	16387
58	669	16361
59	680	16342
60	691	16323
61	702	16286
62	713	16269
63	725	16268
64	736	16253
65	748	16253
66	760	16269
67	771	16237
68	780	16193
69	792	16189
70	804	16193
71	816	16195
72	829	16218
73	841	16225
74	854	16238
75	865	16226
76	877	16221
77	889	16218
78	901	16210
79	912	16188
80	924	16187
81	934	16161
82	945	16134
83	955	16114
84	967	16100
85	978	16085
86	989	16071
87	1000	16058
88	1011	16043
89	1023	16028
90	1034	16019
91	1045	15997
92	1057	15991
93	1068	15975
94	1077	15939
95	1089	15932
96	1100	15914
97	1111	15896
98	1122	15888
99	1133	15871
100	1144	15848
101	1154	15821
102	1164	15792
103	1174	15762
104	1184	15734
105	1194	15708
106	1205	15689
107	1215	15671
108	1226	15651
109	1236	15626
110	1248	15619
111	1262	15641
112	1274	15649
113	1288	15663
114	1301	15668
115	1313	15667
116	1323	15647
117	1334	15631
118	1346	15626
119	1356	15603
120	1369	15602
121	1380	15593
122	1392	15587
123	1402	15563
124	1414	15555
125	1425	15544
126	1435	15521
127	1447	15510
128	1458	15497
129	1468	15473
130	1479	15459
131	1490	15442
132	1500	15418
133	1511	15409
134	1523	15399
135	1534	15389
136	1545	15378
137	1557	15371
138	1568	15353
139	1578	15338
140	1590	15328
141	1600	15310
142	1612	15304
143	1624	15294
144	1634	15277
145	1645	15263
146	1657	15253
147	1667	15233
148	1677	15212
149	1688	15198
150	1699	15180
151	1712	15189
152	1725	15188
153	1738	15190
